 

[(76.11321687698363, 145.0675892829895), (67.84414529800414, 148.16615402698517), (59.946713447570794, 151.05046570301056), (53.04656982421874, 155.633043050766), (93.85615110397337, 162.07737028598785), (86.54055833816527, 161.75858795642853), (80.07428169250487, 162.2928249835968), (71.0748767852783, 161.37580633163452), (98.08145284652709, 172.48457193374634), (90.92164278030394, 171.6384243965149), (82.61359691619872, 171.29938960075378), (72.5421094894409, 170.18152356147766), (96.01462125778197, 182.03359723091125), (86.1910843849182, 180.81717252731323), (78.54096651077269, 178.82756173610687), (70.50998926162718, 175.92851758003235), (84.06028032302855, 187.29224145412445), (77.9515242576599, 185.99199056625366), (72.66917467117308, 184.4540798664093), (65.33361196517943, 182.14482307434082), (50.21124601364135, 166.8650633096695)]



[(76.28085136413573, 145.1382726430893), (68.10504913330077, 148.40910851955414), (60.136678218841546, 151.36365294456482), (52.883727550506585, 155.82144856452942), (94.79291439056395, 162.48830258846283), (87.3058247566223, 161.97919964790344), (80.62412738800047, 162.46727406978607), (71.82969331741332, 161.6165328025818), (98.35465192794798, 172.62078166007996), (91.19514226913451, 171.80801689624786), (82.84544706344603, 171.4616346359253), (72.90494441986083, 170.2077966928482), (96.27485275268553, 182.20321476459503), (86.73974990844725, 180.89020907878876), (79.05630826950072, 179.06293094158173), (70.61131954193114, 176.0688203573227), (84.38673019409178, 187.36527800559998), (78.18812370300292, 186.0889095067978), (72.79021024703978, 184.52898144721985), (65.2524447441101, 182.377250790596), (49.843804836273186, 167.16793656349182)]



[(76.43619060516356, 145.3539901971817), (68.25729846954344, 148.47066700458527), (60.08809089660644, 151.24838411808014), (53.372290134429925, 155.8120357990265), (94.88608360290526, 162.46522128582), (87.56118535995482, 162.03280985355377), (80.48735618591307, 162.504061460495), (71.45148754119872, 161.5697193145752), (98.40281724929808, 172.48522281646729), (91.73923015594481, 171.94104731082916), (83.22391033172606, 171.53382003307343), (72.98672676086424, 170.04135847091675), (96.28670454025267, 182.34085142612457), (87.01307773590086, 181.17714822292328), (79.20816421508788, 179.24651741981506), (70.84168910980223, 176.03155732154846), (84.45141792297362, 187.38417863845825), (78.4652280807495, 186.3037133216858), (73.15565586090086, 184.7731500864029), (65.39966583251952, 182.409006357193), (50.469317436218255, 166.9644856452942)]


[(76.30958318710326, 145.3261023759842), (68.06071043014525, 148.4107106924057), (60.02974033355712, 151.18666291236877), (53.03491115570068, 155.86880028247833), (94.8253297805786, 162.37113118171692), (87.37434625625609, 161.99127852916718), (80.56953191757201, 162.4249917268753), (71.48182153701781, 161.42721354961395), (98.37653875350951, 172.65580415725708), (91.32817983627318, 171.93209767341614), (83.04942369461058, 171.53266847133636), (72.84883260726927, 170.19471645355225), (96.36491060256957, 182.25951611995697), (87.01833486557005, 181.11736714839935), (79.25381898880003, 179.31329548358917), (70.71275711059569, 176.2593913078308), (84.41398143768309, 187.5258082151413), (78.26311111450194, 186.35378122329712), (72.74147272109984, 184.89494025707245), (65.47131299972533, 182.6778209209442), (50.0557780265808, 167.09858000278473)]



