
[(175.70358610153195, 631.0564727783203), (136.1717433929443, 633.5519104003906), (99.20925521850583, 641.2386016845703), (60.25506591796871, 651.1415786743164), (233.31755161285395, 721.9947891235352), (206.7057209014892, 708.7459411621094), (177.72686004638666, 700.5612945556641), (137.5082559585571, 686.8128890991211), (237.55599975585932, 769.3902130126953), (209.26468133926386, 752.5438995361328), (175.6669664382934, 739.7423782348633), (132.5329685211181, 723.5610733032227), (216.11784553527826, 807.3807754516602), (181.46840429306025, 790.5925140380859), (151.44073104858393, 775.1000900268555), (117.91520404815668, 752.2138519287109), (156.39877510070795, 829.4113464355469), (133.48489952087397, 815.8059616088867), (116.72285699844355, 800.4459838867188), (93.66887140274042, 775.3705902099609), (40.900056838989215, 687.5075912475586)]

[(176.1607160568237, 630.8883514404297), (134.82922267913816, 633.556396484375), (98.92272663116452, 640.0264511108398), (60.57412862777706, 649.3890151977539), (233.66323041915888, 722.0074462890625), (206.54446220397944, 708.804313659668), (177.72253417968744, 700.6211624145508), (137.95922756195066, 686.2488708496094), (237.7749667167663, 770.3310089111328), (209.37472057342524, 752.6950912475586), (176.0058860778808, 738.3840026855469), (133.55738782882685, 723.1210632324219), (216.40512514114374, 807.8182754516602), (181.67421340942377, 791.1092147827148), (152.32224655151362, 775.5560684204102), (119.4257726669311, 752.6720199584961), (155.9242815971374, 830.7729797363281), (133.92890167236322, 815.9339752197266), (118.04137516021723, 800.3038177490234), (96.54301929473871, 776.2927474975586), (39.120383262634235, 685.2543487548828)]

[(174.04380512237546, 631.9199905395508), (135.74228096008298, 634.3815155029297), (98.68104887008664, 641.9306869506836), (59.03282833099361, 650.0833435058594), (231.93363475799555, 723.2171401977539), (204.93986606597895, 709.8514404296875), (176.74741172790522, 701.905891418457), (136.6283025741577, 688.7925338745117), (236.8929104804992, 770.9584197998047), (207.39386415481562, 753.4664306640625), (174.20049762725824, 740.3628997802734), (131.49289798736567, 725.5515060424805), (214.72317409515375, 809.3320083618164), (180.11978530883783, 791.9731597900391), (150.6592211723327, 776.5601501464844), (116.4116649627685, 754.1699981689453), (154.86834955215448, 831.238037109375), (132.32310390472406, 817.0113296508789), (115.86450290679926, 801.3556976318359), (91.82247734069819, 775.6555099487305), (37.62798929214473, 688.5200042724609)]

[(174.5403785705566, 632.9362487792969), (136.17630958557126, 635.4944915771484), (99.6412110328674, 642.7813873291016), (60.23674106597896, 650.814094543457), (232.0075950622558, 724.6142883300781), (204.94821739196772, 710.9885559082031), (176.88451766967768, 702.7041473388672), (137.27177524566648, 689.9560317993164), (236.34244394302362, 772.1579132080078), (207.59603834152216, 755.0376281738281), (175.08327484130854, 742.4732818603516), (132.02834415435785, 726.6786880493164), (214.8560442924499, 811.6280288696289), (181.2298507690429, 794.8357086181641), (151.6162891387939, 779.3951950073242), (116.79456424713129, 755.6936111450195), (154.78901195526117, 832.5713119506836), (131.68735170364374, 818.8241882324219), (115.13607501983637, 802.8737030029297), (91.32998943328852, 776.5175323486328), (38.4895277023315, 688.4167709350586)]

[(175.9301834106445, 634.3293380737305), (136.8418922424316, 636.7016754150391), (101.57977008819577, 643.5082931518555), (62.55092954635616, 651.8722229003906), (233.15875625610346, 726.3535537719727), (206.66534614562983, 712.9322052001953), (178.02387285232538, 704.1588134765625), (138.21162986755368, 690.9621429443359), (236.86494255065912, 774.7049942016602), (208.55031251907343, 758.1121444702148), (176.27841567993158, 744.4380798339844), (133.00112342834467, 727.3310394287109), (215.80986785888666, 813.0948181152344), (182.0326595306396, 796.9840621948242), (152.30716609954828, 780.7176284790039), (117.09280872344965, 756.4880752563477), (156.05378723144526, 833.9755096435547), (133.35812759399408, 821.2092361450195), (116.85927200317377, 804.2846832275391), (93.12330150604242, 779.0601806640625), (39.72336101531978, 687.5962982177734)]

